porn,pornografía,porno,إباحية,πορνογραφία,Porno,porno,pornô,порно,A片,ポルノ,porno,अश्लील,পর্ণ
share,compartir,partager,يشارك,μερίδιο,Aktie,condividere,compartilhar,делиться,分享,共有,membagikan,शेयर करना,ভাগ
similar,similar,similaire,مشابه,παρόμοιος,ähnlich,simile,semelhante,похожий,相似的,似ている,serupa,समान,অনুরূপ
garden,jardín,jardin,حديقة,κήπος,Garten,giardino,jardim,сад,花园,庭,kebun,बगीचा,বাগান
schools,escuelas,écoles,المدارس,σχολεία,Schulen,scuole,escolas,школы,学校,学校,sekolah,स्कूलों,স্কুল
million,millón,million,مليون,εκατομμύριο,Million,milioni,milhão,миллион,百万,百万,juta,दस लाख,মিলিয়ন
added,agregado,ajouté,وأضاف,προστέθηκε,hinzugefügt,aggiunto,adicionado,добавлен,额外,追加した,ditambahkan,जोड़ा,যোগ করা হয়েছে
reference,referencia,référence,مرجع,αναφορά,Referenz,riferimento,referência,ссылка,参考,参照,referensi,संदर्भ,রেফারেন্স
companies,empresas,entreprises,شركات,εταιρείες,Unternehmen,aziende,empresas,компании,公司,企業,perusahaan,कंपनियों,কোম্পানি
listed,listado,répertorié,المدرجة,παρατίθενται,aufgeführt,elencato,listado,внесен в список,列出,リスト化された,terdaftar,सूचीबद्ध,তালিকাভুক্ত
baby,bebé,bébé,طفل,μωρό,Baby,Bambino,bebê,малыш,婴儿,赤ちゃん,Sayang,बच्चा,শিশু
learning,aprendiendo,apprentissage,تعلُّم,μάθηση,Lernen,apprendimento,aprendizado,обучение,学习,学ぶ,sedang belajar,सीखना,শেখার
energy,energía,énergie,طاقة,ενέργεια,Energie,energia,energia,энергия,活力,エネルギー,energi,ऊर्जा,শক্তি
run,correr,courir,يجري,τρέξιμο,laufen,correre,correr,бегать,跑步,走る,berlari,दौड़ना,চালানো
delivery,entrega,livraison,توصيل,διανομή,Lieferung,consegna,entrega,доставка,送货,配達,pengiriman,वितरण,বিতরণ
net,neto,filet,شبكة,καθαρά,netto,netto,líquido,сеть,网,ネット,bersih,जाल,নেট
popular,popular,populaire,شائع,δημοφιλής,beliebt,popolare,popular,популярный,受欢迎的,人気のある,populer,लोकप्रिय,জনপ্রিয়
term,término,terme,شرط,όρος,Begriff,termine,prazo,срок,学期,学期,ketentuan,अवधि,মেয়াদ
film,película,film,فيلم,ταινία,Film,film,filme,фильм,电影,膜,film,पतली परत,চলচ্চিত্র
stories,historias,histoires,قصص,ιστορίες,Geschichten,storie,histórias,истории,故事,物語,cerita,कहानियां,গল্প
put,poner,mettre,يضع,βάζω,setzen,Mettere,colocar,помещать,放,置く,meletakkan,रखना,রাখা
computers,computadoras,ordinateurs,أجهزة الكمبيوتر,υπολογιστές,Computer,computer,computadores,компьютеры,电脑,コンピュータ,komputer,कंप्यूटर,কম্পিউটার
journal,diario,journal,مجلة,εφημερίδα,Zeitschrift,diario,jornal,журнал,杂志,ジャーナル,jurnal,पत्रिका,জার্নাল
reports,informes,rapports,التقارير,εκθέσεις,Berichte,rapporti,relatórios,отчеты,报告,レポート,laporan,रिपोर्टों,রিপোর্ট
co,co,co,شركة,συν,co,co,co,со,共,コ,bersama,सह,সহ
try,intentar,essayer,يحاول,δοκιμή,versuchen,Tentativo,tentar,пытаться,尝试,試す,mencoba,कोशिश,চেষ্টা করুন
welcome,bienvenido,accueillir,مرحباً,καλωσόρισμα,Willkommen,Benvenuto,Bem-vindo,добро пожаловать,欢迎,いらっしゃいませ,selamat datang,स्वागत,স্বাগত
central,central,central,مركزي,κεντρικός,zentral,centrale,central,центральный,中央,中央,pusat,केंद्रीय,কেন্দ্রীয়
images,imágenes,photos,الصور,εικόνες,Bilder,immagini,imagens,изображения,图片,画像,gambar,इमेजिस,ছবি
president,presidente,président,رئيس,πρόεδρος,Präsident,presidente,presidente,президент,总统,社長,presiden,अध्यक्ष,রাষ্ট্রপতি
notice,aviso,avis,يلاحظ,ανακοίνωση,beachten,avviso,perceber,уведомление,注意,知らせ,melihat,सूचना,নোটিশ
god,dios,Dieu,إله,θεός,Gott,Dio,Deus,бог,上帝,神,Tuhan,ईश्वर,ঈশ্বর
original,original,original,إبداعي,πρωτότυπο,Original,originale,original,оригинальный,原来的,オリジナル,asli,मूल,মূল
head,cabeza,tête,رأس,κεφάλι,Kopf,Testa,cabeça,голова,头,頭,kepala,सिर,মাথা
radio,radio,radio,راديو,ραδιόφωνο,Radio,radio,rádio,радио,收音机,無線,radio,रेडियो,রেডিও
until,hasta,jusqu'à,حتى,μέχρι,bis,Fino a,até,до,直到,それまで,sampai,जब तक,পর্যন্ত
cell,celúla,cellule,خلية,κύτταρο,Zelle,cella,célula,клетка,细胞,細胞,sel,कक्ष,কোষ
color,color,couleur,لون,χρώμα,Farbe,colore,cor,цвет,颜色,色,warna,रंग,রঙ
self,ser,soi,النفس,εαυτός,selbst,se stesso,auto,себя,自己,自己,diri sendiri,खुद,স্ব
council,concejo,conseil,مجلس,συμβούλιο,Rat,consiglio,conselho,совет,理事会,評議会,dewan,परिषद,পরিষদ
away,lejos,loin,بعيد,μακριά,weg,lontano,ausente,прочь,离开,離れて,jauh,दूर,দূরে
going,yendo,en allant,ذاهب,μετάβαση,gehen,andando,indo,идущий,去,行く,pergi,जा रहा है,যাচ্ছে
track,pista,piste,مسار,τροχιά,Schiene,traccia,acompanhar,отслеживать,追踪,追跡,melacak,रास्ता,ট্র্যাক
australia,Australia,Australie,أستراليا,Αυστραλία,Australien,Australia,Austrália,Австралия,澳大利亚,オーストラリア,Australia,ऑस्ट्रेलिया,অস্ট্রেলিয়া
discussion,discusión,discussion,مناقشة,συζήτηση,Diskussion,discussione,discussão,обсуждение,讨论,議論,diskusi,बहस,আলোচনা
archive,archivo,archive,أرشيف,αρχείο,Archiv,archivio,arquivo,архив,档案,アーカイブ,arsip,पुरालेख,সংরক্ষণাগার
once,una vez,une fois,مرة واحدة,μια φορά,einmal,una volta,uma vez,один раз,一次,一度,sekali,एक बार,একবার
others,otros,autres,آحرون,άλλοι,andere,altri,outros,другие,其他的,その他,yang lain,अन्य,অন্যদের
entertainment,entretenimiento,divertissement,ترفيه,ψυχαγωγία,Unterhaltung,divertimento,entretenimento,развлечение,娱乐,エンターテインメント,hiburan,मनोरंजन,বিনোদন
agreement,acuerdo,accord,اتفاق,συμφωνία,Vereinbarung,accordo,acordo,соглашение,协议,合意,perjanjian,समझौता,চুক্তি
format,formato,format,شكل,σχήμα και διάταξις βιβλίου,Format,formato,formatar,формат,格式,形式,format,प्रारूप,বিন্যাস
least,el menos,moins,الأقل,ελάχιστα,am wenigsten,meno,ao menos,наименее,至少,少しでも,paling sedikit,कम से कम,অন্তত
society,sociedad,société,مجتمع,κοινωνία,Gesellschaft,società,sociedade,общество,社会,社会,masyarakat,समाज,সমাজ
months,meses,mois,شهور,μήνες,Monate,mesi,meses,месяцы,月,月,bulan,महीने,মাস
log,registro,enregistrer,سجل,κούτσουρο,Protokoll,tronco d'albero,registro,бревно,日志,ログ,mencatat,लकड़ी का लट्ठा,লগ
safety,seguridad,sécurité,أمان,ασφάλεια,Sicherheit,sicurezza,segurança,безопасность,安全,安全性,keamanan,सुरक्षा,নিরাপত্তা
friends,amigos,amis,أصدقاء,φίλοι,Freunde,amici,amigos,друзья,朋友们,友達,teman-teman,दोस्त,বন্ধুরা
sure,seguro,bien sûr,بالتأكيد,σίγουρος,Sicher,Sicuro,claro,конечно,当然,もちろん,Tentu,ज़रूर,নিশ্চিত
faq,preguntas frecuentes,FAQ,التعليمات,faq,FAQ,domande frequenti,Perguntas frequentes,Часто задаваемые вопросы,常问问题,よくある質問,pertanyaan umum,अक्सर पूछे जाने वाले प्रश्न,প্রশ্ন
trade,comercio,commerce,تجارة,εμπόριο,Handel,commercio,troca,торговля,贸易,貿易,berdagang,व्यापार,বাণিজ্য
edition,edición,édition,طبعة,έκδοση,Ausgabe,edizione,edição,версия,版,版,edisi,संस्करण,সংস্করণ
cars,carros,voitures,سيارات,αυτοκίνητα,Autos,automobili,carros,автомобили,汽车,車,mobil,कारें,গাড়ি
messages,mensajes,messages,رسائل,μηνύματα,Nachrichten,messaggi,mensagens,сообщения,消息,メッセージ,pesan,संदेशों,বার্তা
marketing,marketing,commercialisation,تسويق,εμπορία,Marketing,marketing,marketing,маркетинг,营销,マーケティング,pemasaran,मार्केटिंग,মার্কেটিং
tell,decir,dire,يخبر,λέγω,erzählen,raccontare,dizer,рассказывать,告诉,教えて,memberi tahu,कहना,বল
further,más,plus loin,إضافي,περαιτέρω,weiter,ulteriore,avançar,дальше,更远,さらに遠く,lebih jauh,आगे,আরও
updated,actualizado,mis à jour,تم تحديثه,ενημερώθηκε,aktualisiert,aggiornato,atualizado,обновлено,已更新,更新されました,diperbarui,अद्यतन,আপডেট করা হয়েছে
association,asociación,association,منظمة,σχέση,Verein,associazione,associação,ассоциация,协会,協会,asosiasi,संगठन,সমিতি
able,capaz,capable,قادر,ικανός,fähig,capace,capaz,способный,有能力的,できる,mampu,योग्य,সক্ষম
having,teniendo,ayant,وجود,έχοντας,haben,avendo,tendo,имея,拥有,持っている,memiliki,होना,থাকা
provides,proporciona,fournit,يوفر,παρέχει,bietet,fornisce,fornece,обеспечивает,提供,提供します,menyediakan,प्रदान,প্রদান করে
david,David,David,ديفيد,Δαβίδ,David,davide,Davi,Дэйвид,大卫,デビッド,david,डेविड,ডেভিড
fun,divertido,amusant,هزار,διασκέδαση,Spaß,divertimento,diversão,веселье,乐趣,楽しい,seru,मज़ा,মজা
already,ya,déjà,بالفعل,ήδη,bereits,Già,já,уже,已经,すでに,sudah,पहले से,ইতিমধ্যে
green,verde,vert,أخضر,πράσινος,Grün,verde,verde,зеленый,绿色的,緑,hijau,हरा,সবুজ
studies,estudios,études,دراسات,σπουδές,Studien,studi,estudos,исследования,研究,研究,studi,अध्ययन करते हैं,অধ্যয়ন
close,cerca,fermer,يغلق,κοντά,schließen,vicino,fechar,закрывать,关闭,近い,menutup,बंद करना,বন্ধ
common,común,commun,شائع,κοινός,gemeinsam,comune,comum,общий,常见的,一般,umum,सामान्य,সাধারণ
drive,conducir,conduire,يقود,οδηγώ,fahren,guidare,dirigir,водить машину,驾驶,ドライブ,menyetir,गाड़ी चलाना,ড্রাইভ
specific,específico,spécifique,محدد,ειδικός,spezifisch,specifico,específico,специфический,具体的,特定の,spesifik,विशिष्ट,নির্দিষ্ট
several,varios,plusieurs,عديد,διάφοροι,mehrere,parecchi,diversos,несколько,一些,いくつかの,beberapa,अनेक,বেশ কিছু
gold,oro,or,ذهب,χρυσός,Gold,oro,ouro,золото,金子,金,emas,सोना,সোনা
feb,feb,fév,فبراير,Φεβ,Feb,febbraio,fevereiro,февраль,二月,2月,Februari,फ़रवरी,ফেব্রুয়ারী
living,viviendo,vie,معيشة,ζωή,Leben,vita,vivendo,жизнь,活的,リビング,hidup,जीविका,জীবিত
sep,sep,sep,سبتمبر,σεπ,sep,sett,setembro,сентябрь,九月,9月,September,सितम्बर,sep
collection,recopilación,collection,مجموعة,συλλογή,Sammlung,collezione,coleção,коллекция,收藏,コレクション,koleksi,संग्रह,সংগ্রহ
called,llamado,appelé,مُسَمًّى,κάλεσε,angerufen,chiamato,chamado,называется,被称为,呼ばれた,ditelepon,बुलाया,ডাকা
short,corto,court,قصير,μικρός,kurz,corto,curto,короткий,短的,短い,pendek,छोटा,সংক্ষিপ্ত
arts,letras,arts,الفنون,τέχνες,Künste,arti,artes,искусство,艺术,芸術,seni,आर्ट्स एक,কলা
lot,lote,parcelle,كثير,παρτίδα,viel,quantità,muito,много,很多,多く,banyak,बहुत,অনেক
ask,preguntar,demander,بسأل,παρακαλώ,fragen,chiedere,perguntar,просить,问,聞く,bertanya,पूछना,জিজ্ঞাসা
stores,víveres,magasins,مخازن,προμήθεια,Geschäfte,negozi,lojas,магазины,商店,店,toko,भंडार,দোকান
limited,limitado,limité,محدود,περιωρισμένος,beschränkt,limitato,limitado,ограниченный,有限的,限定,terbatas,सीमित,সীমিত
powered,motorizado,alimenté,مدعوم,τροφοδοτείται,angetrieben,alimentato,alimentado,питание,供电的,動力を与えられた,bertenaga,संचालित,চালিত
solutions,soluciones,solutions,الحلول,λύσεις,Lösungen,soluzioni,soluções,решения,解决方案,ソリューション,solusi,समाधान,সমাধান
means,medio,moyens,وسائل,μέσα,bedeutet,significa,significa,означает,方法,手段,cara,मतलब,মানে
director,director,directeur,مخرج,διευθυντής,Direktor,direttore,diretor,директор,导演,監督,direktur,निदेशक,পরিচালক
daily,a diario,tous les jours,يوميًا,καθημερινά,täglich,quotidiano,diário,ежедневно,日常的,毎日,sehari-hari,दैनिक,দৈনিক
beach,playa,plage,شاطئ,παραλία,Strand,spiaggia,praia,пляж,海滩,ビーチ,pantai,समुद्र तट,সৈকত
past,pasado,passé,ماضي,το παρελθόν,Vergangenheit,passato,passado,прошлое,过去的,過去,masa lalu,अतीत,অতীত
natural,natural,naturel,طبيعي,φυσικός,natürlich,naturale,natural,естественный,自然的,自然,alami,प्राकृतिक,প্রাকৃতিক
whether,si,si,سواء,αν,ob,se,se,ли,无论,かどうか,apakah,चाहे,কিনা
due,pendiente,exigible,حق,οφειλόμενος,fällig,dovuto,devido,должный,到期的,期限,jatuh tempo,देय,বকেয়া
et,y,et,وآخرون,et,et,et,et,и др.,等,など,et,एट,ইত্যাদি
electronics,electrónica,électronique,إلكترونيات,ηλεκτρονική,Elektronik,elettronica,eletrônica,электроника,电子产品,エレクトロニクス,elektronik,इलेक्ट्रानिक्स,ইলেকট্রনিক্স
five,cinco,cinq,خمسة,πέντε,fünf,cinque,cinco,пять,五,五,lima,पाँच,পাঁচ
upon,al,sur,على,επάνω σε,auf,su,sobre,на,之上,その上,pada,ऊपर,উপর
period,período,période,فترة,περίοδος,Zeitraum,periodo,período,период,时期,期間,periode,अवधि,সময়কাল
planning,planificación,planification,تخطيط,σχεδίαση,Planung,pianificazione,planejamento,планирование,规划,計画,perencanaan,योजना,পরিকল্পনা
database,base de datos,base de données,قاعدة البيانات,βάση δεδομένων,Datenbank,banca dati,banco de dados,база данных,数据库,データベース,basis data,डेटाबेस,ডাটাবেস
says,dice,dit,يقول,λέει,sagt,dice,diz,говорит,说,言う,mengatakan,कहते हैं,বলেছেন
official,oficial,officiel,رسمي,επίσημος ανώτερος υπάλληλος,offiziell,ufficiale,oficial,чиновник,官方的,正式,resmi,अधिकारी,অফিসিয়াল
weather,clima,météo,طقس,καιρός,Wetter,tempo atmosferico,clima,погода,天气,天気,cuaca,मौसम,আবহাওয়া
mar,mar,mar,مار,αφανίζω,beschädigen,mar,março,март,三月,3月,merusak,मार्च,mar
land,tierra,atterrir,أرض,γη,Land,terra,terra,земля,土地,土地,tanah,भूमि,জমি
average,promedio,moyenne,متوسط,μέσος,Durchschnitt,media,média,средний,平均的,平均,rata-rata,औसत,গড়
done,hecho,fait,منتهي,γινώμενος,Erledigt,Fatto,feito,сделанный,完毕,終わり,Selesai,हो गया,সম্পন্ন
technical,técnico,technique,اِصطِلاحِيّ,τεχνικός,technisch,tecnico,técnico,технический,技术的,テクニカル,teknis,तकनीकी,প্রযুক্তিগত
window,ventana,fenêtre,نافذة,παράθυρο,Fenster,finestra,janela,окно,窗户,ウィンドウ,jendela,खिड़की,জানালা
france,Francia,France,فرنسا,Γαλλία,Frankreich,Francia,França,Франция,法国,フランス,Perancis,फ्रांस,ফ্রান্স
pro,pro,pro,الموالية,επαγγελματίας,Profi,pro,pró,про,亲,プロ,pro,प्रो,প্রো
region,región,région,منطقة,περιοχή,Region,regione,região,область,地区,地域,wilayah,क्षेत्र,অঞ্চল
island,isla,île,جزيرة,νησί,Insel,isola,ilha,остров,岛,島,pulau,द्वीप,দ্বীপ
record,registro,enregistrer,سِجِلّ,ρεκόρ,aufzeichnen,documentazione,registro,записывать,记录,記録,catatan,अभिलेख,রেকর্ড
direct,directo,direct,مباشر,απευθείας,direkt,diretto,direto,прямой,直接的,直接,langsung,प्रत्यक्ष,সরাসরি
microsoft,Microsoft,Microsoft,مايكروسوفت,microsoft,Microsoft,Microsoft,microsoft,Майкрософт,微软,マイクロソフト,microsoft,माइक्रोसॉफ्ट,মাইক্রোসফট
conference,conferencia,conférence,مؤتمر,διάσκεψη,Konferenz,conferenza,conferência,конференция,会议,会議,konferensi,सम्मेलन,সম্মেলন
environment,ambiente,environnement,بيئة,περιβάλλο,Umfeld,ambiente,ambiente,среда,环境,環境,lingkungan,पर्यावरण,পরিবেশ
records,archivos,enregistrements,السجلات,εγγραφές,Aufzeichnungen,record,registros,записи,记录,記録,catatan,अभिलेख,রেকর্ড
st,calle,St,شارع,αγ,st,st,st,ул.,英石,セント,st,अनुसूचित जनजाति,সেন্ট
district,distrito,district,يصرف,περιοχή,Bezirk,quartiere,distrito,округ,区,地区,daerah,ज़िला,জেলা
calendar,calendario,calendrier,تقويم,ημερολόγιο,Kalender,calendario,calendário,календарь,日历,カレンダー,kalender,कैलेंडर,ক্যালেন্ডার
costs,costos,frais,التكاليف,δικαστικά έξοδα,Kosten,costi,custos,затраты,成本,費用,biaya,लागत,খরচ
style,estilo,style,أسلوب,στυλ,Stil,stile,estilo,стиль,风格,スタイル,gaya,शैली,শৈলী
url,URL,URL,عنوان URL,url,URL,URL,url,URL,网址,URL,url,यूआरएल,url
front,frente,devant,أمام,εμπρός,Front,anteriore,frente,передний,正面,フロント,depan,सामने,সামনে
statement,declaración,déclaration,إفادة,δήλωση,Stellungnahme,dichiarazione,declaração,заявление,陈述,声明,penyataan,कथन,বিবৃতি
update,actualizar,mise à jour,تحديث,εκσυγχρονίζω,aktualisieren,aggiornamento,atualizar,обновлять,更新,アップデート,memperbarui,अद्यतन,আপডেট
parts,regiones,parties,أجزاء,εξαρτήματα,Teile,parti,peças,части,部分,部品,bagian,पार्ट्स,অংশ
aug,ago,août,أغسطس,αυγ,Aug,agosto,agosto,август,八月,8月,Agustus,अगस्त,অগাস্ট
ever,alguna vez,jamais,أبدًا,πάντα,immer,mai,sempre,всегда,曾经,これまで,pernah,कभी,কখনও
four,cuatro,quatre,أربعة,τέσσερις,vier,quattro,quatro,четыре,四,4,empat,चार,চার
early,temprano,tôt,مبكر,νωρίς,früh,Presto,cedo,рано,早期的,早い,lebih awal,जल्दी,তাড়াতাড়ি
miles,millas,kilomètres,أميال,μίλια,Meilen,miglia,milhas,миль,英里,マイル,mil,मील,মাইল
sound,sonido,son,صوت,ήχος,Klang,suono,som,звук,声音,音,suara,आवाज़,শব্দ
resource,recurso,ressource,الموارد,πόρος,Ressource,risorsa,recurso,ресурс,资源,リソース,sumber,संसाधन,সম্পদ
present,presente,présent,حاضر,παρόν,gegenwärtig,presente,presente,подарок,展示,現在,hadiah,उपस्थित,বর্তমান
applications,aplicaciones,candidatures,التطبيقات,εφαρμογές,Anwendungen,applicazioni,aplicações,приложения,应用,アプリケーション,aplikasi,अनुप्रयोग,অ্যাপ্লিকেশন
either,cualquiera,soit,أيضاً,είτε,entweder,O,qualquer,или,任何一个,どちらか,salah satu,दोनों में से एक,হয়
ago,atrás,il y a,منذ,πριν,vor,fa,atrás,назад,前,前,yang lalu,पहले,আগে
document,documento,document,وثيقة,έγγραφο,dokumentieren,documento,documento,документ,文档,書類,dokumen,दस्तावेज़,নথি
word,palabra,mot,كلمة,λέξη,Wort,parola,palavra,слово,单词,言葉,kata,शब्द,শব্দ
works,obras,travaux,يعمل,εργοστάσιο,funktioniert,funziona,funciona,работает,作品,作品,bekerja,काम करता है,কাজ করে
material,material,matériel,مادة,υλικό,Material,materiale,material,материал,材料,材料,bahan,सामग्री,উপাদান
bill,factura,facture,فاتورة,νομοσχέδιο,Rechnung,conto,conta,счет,账单,請求書,tagihan,बिल,বিল
apr,abr,avr,أبريل,απρ,Apr,apr,abril,апрель,四月,4月,April,अप्रैल,এপ্রিল
written,escrito,écrit,مكتوب,γραπτός,geschrieben,scritto,escrito,написано,书面,書かれた,tertulis,लिखा हुआ,লিখিত
talk,hablar,parler,يتحدث,ομιλία,sprechen,parlare,falar,разговаривать,讲话,話す,bicara,बात करना,কথা
federal,federal,fédéral,الفيدرالية,ομοσπονδιακός,föderal,federale,federal,федеральный,联邦,連邦政府,federal,संघीय,ফেডারেল
hosting,alojamiento,hébergement,استضافة,φιλοξενία,Hosting,ospitare,hospedagem,хостинг,托管,ホスティング,menjadi tuan rumah,होस्टिंग,হোস্টিং
rules,normas,règles,قواعد,κανόνες,Regeln,regole,regras,правила,规则,ルール,aturan,नियम,নিয়ম
final,final,final,أخير,τελικός,Finale,finale,final,финальный,最终的,ファイナル,terakhir,अंतिम,চূড়ান্ত
adult,adulto,adulte,بالغ,ενήλικας,Erwachsene,adulto,adulto,взрослый,成人,アダルト,dewasa,वयस्क,প্রাপ্তবয়স্ক
tickets,entradas,billets,تذاكر,εισιτήρια,Tickets,biglietti,ingressos,билеты,门票,チケット,tiket,टिकट,টিকিট
thing,cosa,chose,شيء,πράγμα,Ding,cosa,coisa,вещь,事物,もの,benda,चीज़,জিনিস
centre,centro,centre,مركز,κέντρο,Center,centro,centro,центр,中心,中心,tengah,केंद्र,কেন্দ্র
requirements,requisitos,exigences,متطلبات,απαιτήσεις,Anforderungen,requisiti,requisitos,требования,要求,要件,persyaratan,आवश्यकताएं,প্রয়োজনীয়তা
via,a través de,via,عبر,μέσω,über,tramite,através de,с помощью,通过,経由,melalui,के जरिए,মাধ্যমে
cheap,barato,bon marché,رخيص,φτηνός,billig,economico,barato,дешевый,便宜的,安い,murah,सस्ता,সস্তা
nude,desnudo,nu,ناقص,γυμνός,nackt,nudo,nu,обнаженная,裸体,ヌード,telanjang,नंगा,নগ্ন
kids,niños,enfants,أطفال,μικρόκοσμος,Kinder,bambini,crianças,дети,孩子们,子供たち,anak-anak,बच्चे,বাচ্চাদের
finance,finanzas,finance,تمويل,οικονομικά,Finanzen,finanza,financiar,финансы,金融,ファイナンス,keuangan,वित्त,অর্থ
true,verdadero,vrai,حقيقي,αληθής,WAHR,VERO,verdadeiro,истинный,真的,真実,BENAR,सत्य,সত্য
minutes,minutos,minutes,دقائق,πρακτικά,Minuten,minuti,minutos,минуты,分钟,分,menit,मिनट,মিনিট
else,demás,autre,آخر,αλλού,anders,altro,outro,еще,别的,それ以外,kalau tidak,अन्य,অন্য
mark,marca,marque,علامة,σημάδι,markieren,segno,marca,отметка,标记,マーク,tanda,निशान,চিহ্ন
third,tercero,troisième,ثالث,τρίτος,dritte,terzo,terceiro,третий,第三,三番目,ketiga,तीसरा,তৃতীয়
rock,roca,rocher,صخر,βράχος,Felsen,roccia,pedra,камень,岩石,ロック,batu,चट्टान,শিলা
gifts,regalos,cadeaux,الهدايا,δώρα,Geschenke,regali,presentes,подарки,礼物,ギフト,hadiah,उपहार,উপহার
europe,Europa,Europe,أوروبا,Ευρώπη,Europa,Europa,Europa,Европа,欧洲,ヨーロッパ,eropa,यूरोप,ইউরোপ
reading,lectura,en lisant,قراءة,ανάγνωση,Lektüre,lettura,leitura,чтение,阅读,読む,membaca,पढ़ना,পড়া
topics,temas,sujets,المواضيع,θέματα,Themen,argomenti,tópicos,темы,主题,トピックス,topik,विषय,বিষয়
bad,malo,mauvais,سيء,κακός,schlecht,Cattivo,ruim,плохой,坏的,悪い,buruk,खराब,খারাপ
individual,individual,individuel,فردي,άτομο,Person,individuale,individual,индивидуальный,个人,個人,individu,व्यक्ति,স্বতন্ত্র
tips,consejos,conseils,نصائح,συμβουλές,Tipps,suggerimenti,pontas,советы,尖端,ヒント,tip,सुझावों,টিপস
plus,más,plus,زائد,συν,Plus,più,mais,плюс,加,プラス,plus,प्लस,প্লাস
auto,auto,auto,آلي,αυτο,Auto,auto,auto,авто,汽车,自動,mobil,ऑटो,স্বয়ংক্রিয়
cover,cubrir,couverture,غطاء,κάλυμμα,Abdeckung,copertina,cobrir,крышка,覆盖,カバー,menutupi,ढकना,আবরণ
usually,generalmente,généralement,عادة,συνήθως,normalerweise,Generalmente,geralmente,обычно,通常,いつもの,biasanya,आम तौर पर,সাধারণত
edit,editar,modifier,يحرر,εκδίδω,bearbeiten,modificare,editar,редактировать,编辑,編集,sunting,संपादन करना,সম্পাদনা
together,juntos,ensemble,معاً,μαζί,zusammen,insieme,junto,вместе,一起,一緒に,bersama,एक साथ,একসাথে
meeting,reunión,réunion,مقابلة,συνάντηση,treffen,incontro,reunião,встреча,会议,ミーティング,pertemuan,बैठक,মিটিং
percent,por ciento,pour cent,بالمائة,τοις εκατό,Prozent,per cento,por cento,процент,百分比,パーセント,persen,प्रतिशत,শতাংশ
fast,rápido,rapide,سريع,γρήγορα,schnell,veloce,rápido,быстрый,快速地,速い,cepat,तेज़,দ্রুত
function,función,fonction,وظيفة,λειτουργία,Funktion,funzione,função,функция,功能,関数,fungsi,समारोह,ফাংশন
fact,hecho,fait,حقيقة,γεγονός,Tatsache,fatto,fato,факт,事实,事実,fakta,तथ्य,সত্য
unit,unidad,unité,وحدة,μονάδα,Einheit,unità,unidade,единица,单元,ユニット,satuan,इकाई,ইউনিট
getting,conseguir,obtenir,الحصول,να πάρει,bekommen,ottenere,recebendo,получающий,得到,取得する,mendapatkan,उपार्जन,পেয়ে
global,global,mondial,عالمي,καθολικός,global,globale,global,глобальный,全球的,グローバル,global,वैश्विक,বিশ্বব্যাপী
tech,tecnología,technologie,التكنولوجيا,τεχν,techn,tecnologia,tecnologia,технология,科技,技術,teknologi,तकनीक,প্রযুক্তি
meet,encontrarse,rencontrer,يقابل,συναντώ,treffen,Incontrare,encontrar,встретиться,见面,会う,bertemu,मिलो,দেখা
far,lejos,loin,بعيد,μακριά,weit,lontano,distante,далеко,远的,遠い,jauh,दूर,দূরে
economic,económico,économique,اقتصادي,οικονομικός,wirtschaftlich,economico,econômico,экономический,经济的,経済的な,ekonomis,आर्थिक,অর্থনৈতিক
en,es,fr,أون,en,de,en,pt,ru,zh,jp,en,एन,en
player,jugador,joueur,لاعب,παίχτης,Spieler,giocatore,jogador,игрок,玩家,プレーヤー,pemain,खिलाड़ी,খেলোয়াড়
projects,proyectos,projets,المشاريع,έργα,Projekte,progetti,projetos,проекты,项目,プロジェクト,proyek,परियोजनाओं,প্রকল্প
lyrics,lírica,paroles,كلمات,στίχοι,Text,testi,letra da música,тексты песен,歌词,歌詞,lirik,गीत,গানের কথা
often,a menudo,souvent,غالباً,συχνά,oft,Spesso,muitas vezes,часто,经常,頻繁,sering,अक्सर,প্রায়ই
subscribe,suscribir,s'abonner,يشترك,συνεισφέρω,abonnieren,iscriviti,inscrever-se,подписаться,订阅,購読する,berlangganan,सदस्यता लें,সদস্যতা
submit,entregar,soumettre,يُقدِّم,υποτάσσομαι,einreichen,invia,enviar,представлять на рассмотрение,提交,提出する,kirim,जमा करना,জমা
germany,Alemania,Allemagne,ألمانيا,Γερμανία,Deutschland,Germania,Alemanha,Германия,德国,ドイツ,Jerman,जर्मनी,জার্মানি
amount,cantidad,montant,كمية,ποσό,Menge,quantità,quantia,количество,数量,額,jumlah,मात्रा,পরিমাণ
watch,mirar,montre,يشاهد,ρολόι,betrachten,orologio,assistir,смотреть,手表,時計,jam tangan,घड़ी,ঘড়ি
included,incluido,compris,متضمنة,συμπεριλαμβανομένος,enthalten,incluso,incluído,включено,包括,含まれています,termasuk,शामिल,অন্তর্ভুক্ত
feel,sentir,sentir,يشعر,αφή,fühlen,Tatto,sentir,чувствовать,感觉,感じる,merasa,अनुभव करना,অনুভব
though,aunque,cependant,رغم ذلك,αν και,obwohl,Anche se,no entanto,хотя,尽管,けれど,meskipun,यद्यपि,যদিও
bank,banco,banque,بنك,τράπεζα,Bank,banca,banco,банк,银行,銀行,bank,किनारा,ব্যাংক
